helper,function,date,set_no_internal,ref_no,cs_no,area,sales_area,hospital,doctor,brand,product,case_date,case_time,sending_date,due_time,courier,recipient,set_no,box_no,return_box,case_used,confirm_email,current_day,notice_return,status,status_date,remark
Sigma 5.0,,28-08-23,,REF_MASKED,,BKK,SALES_005,HOSP_086,DR_602,Sigma 5.0,DF+PF,27-08-23,14:00,27-08-23,,,,L58,-,√,ใช้,,3/18/2026,,Received,8/28/2023,
Stryker T8,,28-08-23,,REF_MASKED,,BKK,SALES_005,HOSP_147,DR_089,Stryker T8,Distal radius T8,26-08-23,11:00,26-08-23,,,,19,BS15,√,ใช้,,3/18/2026,,Received,8/28/2023,
Auxein VA,,28-08-23,,REF_MASKED,,BKK,SALES_005,HOSP_394,DR_193,Auxein VA,Distal radius VA,25-08-23,8:00,25-08-23,,,,9,BM19,√,ใช้,,3/18/2026,,Received,8/28/2023,
Stryker T8,,28-08-23,,REF_MASKED,,UPC,SALES_025,HOSP_483,DR_759,Stryker T8,Distal radius T8,28-08-23,-,25-08-23,,,,39,เขียวเล็ก,√,ใช้,,3/18/2026,,Received,8/28/2023,
Sigma Nail,,28-08-23,,REF_MASKED,,BKK,SALES_005,HOSP_376,DR_421,Sigma Nail,PFNA SL,26-08-23,16:00,26-08-23,,,,N14,BL14,√,ใช้,,3/18/2026,,Received,8/28/2023,
Sigma 3.5,,28-08-23,,REF_MASKED,,BKK,SALES_009,HOSP_400,DR_764,Sigma 3.5,PH,25-08-23,9:30,24-08-23,,,,S8,GM01,√,ใช้,,3/18/2026,,Received,8/28/2023,
Auxein ET,,28-08-23,,REF_MASKED,,BKK,SALES_004,HOSP_078,DR_805,Auxein ET,Expert tibia,28-08-23,10:00,25-08-23,,,,1,BB01,√,ใช้,,3/18/2026,,Received,8/29/2023,
Auxein ET,,28-08-23,,REF_MASKED,,BKK,SALES_004,HOSP_078,DR_805,Auxein ET,Expert tibia,28-08-23,10:00,25-08-23,,,,16,BB10,√,ใช้,,3/18/2026,,Received,8/29/2023,
Sigma Nail,,28-08-23,,REF_MASKED,,BKK,SALES_005,HOSP_461,DR_535,Sigma Nail,PFNA SL,27-08-23,11:30,26-08-23,,,,N15,BL00,√,ใช้,,3/18/2026,,Received,8/28/2023,
Stryker T8,,28-08-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_852,Stryker T8,Distal radius T8,29-08-23,10:00,28-08-23,,,,10,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,9/5/2023,
Sigma 5.0,,28-08-23,,REF_MASKED,,UPC,SALES_021,HOSP_187,DR_368,Sigma 5.0,Broad + Narrow,25-08-23,9:00,24-08-23,,,,L1,GM05,√,ใช้,,3/18/2026,,Received,8/28/2023,
Sigma 3.5,,28-08-23,,REF_MASKED,,BKK,SALES_009,HOSP_400,DR_764,Sigma 3.5,PMT+PLT,25-08-23,9:30,24-08-23,,,,S47,BS02,√,ใช้,,3/18/2026,,Received,8/28/2023,
Sigma 3.5,,28-08-23,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_555,Sigma 3.5,PH,24-08-23,19:00,23-08-23,,,,S03,BS28,√,ใช้,,3/18/2026,,Received,8/28/2023,
Auxein EF,,28-08-23,,REF_MASKED,,BKK,SALES_002,HOSP_324,DR_2098,Auxein EF,Expert femur,28-08-23,9:00,28-08-23,,,,13,BB00,√,ใช้,,3/18/2026,,Received,9/5/2023,
Auxein EF,,28-08-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_350,Auxein EF,Expert femur,28-08-23,-,25-08-23,,,,1,BB16,√,ใช้,,3/18/2026,,Received,8/29/2023,
Auxein Fix,,28-08-23,,REF_MASKED,,UPC,SALES_026,HOSP_365,DR_341,Auxein Fix,Radial head and fix (เฉพาะ Plate),28-08-23,-,25-08-23,,,,-,-,-,คืนครบ,,3/18/2026,,Received,,ผู้แทนส่งทัวร์กลับมาให้
Sigma 3.5,,28-08-23,,REF_MASKED,,BKK,SALES_002,HOSP_441,DR_677,Sigma 3.5,DMT+DAT+Fibular,30-08-23,16:00,27-08-23,,,,S65,BM00,√,ใช้,,3/18/2026,,Received,9/5/2023,ผ่าเดิม 27/8/2023
Auxein ET,,28-08-23,,REF_MASKED,,BKK,SALES_005,HOSP_127,DR_655,Auxein ET,Expert tibia,28-08-23,10:00,27-08-23,,,,9,BM21,√,ใช้,,3/18/2026,,Received,8/29/2023,
Sigma 5.0,,28-08-23,,,,BKK,SALES_006,HOSP_224,DR_355,Sigma 5.0,DF,26-08-23,20:30,25-08-23,,,,L13,GM01,√,คืนครบ,,3/18/2026,,Received,8/28/2023,
Sigma 3.5,,28-08-23,,,,BKK,SALES_005,HOSP_086,DR_602,Sigma 3.5,PH+Recon,27-08-23,14:00,27-08-23,,,,S35,-,-,คืนครบ,,3/18/2026,,Received,8/28/2023,
Sigma 3.5,,28-08-23,,,,BKK,SALES_005,HOSP_086,DR_104,Sigma 3.5,PH,28-08-23,17:00,28-08-23,,,,S70,BS09,√,ใช้,,3/18/2026,,Received,9/6/2023,
Stryker T8,,28-08-23,,,,BKK,SALES_005,HOSP_394,DR_193,Stryker T8,Distal radius T8,25-08-23,8:00,25-08-23,,,,41,-,-,คืนตรง,,3/18/2026,,Received,8/28/2023,
Sigma 3.5,,29-08-23,,REF_MASKED,,BKK,SALES_003,HOSP_156,DR_355,Sigma 3.5,PMT+PLT,29-08-23,15:00,28-08-23,,,,33,BM25,√,ใช้,,3/18/2026,,Received,9/5/2023,
Sigma 2.7/3.5,,29-08-23,,REF_MASKED,,BKK,SALES_006,HOSP_449,DR_543,Sigma 2.7/3.5,Clavicle,29-08-23,15:00,28-08-23,,,,8,BM14,√,ใช้,,3/18/2026,,Received,9/5/2023,
Sigma 5.0,,29-08-23,,REF_MASKED,,BKK,SALES_003,HOSP_156,DR_355,Sigma 5.0,DF,29-08-23,15:00,28-08-23,,,,L16,BM25,√,ใช้,,3/18/2026,,Received,9/5/2023,
Sigma Nail,,29-08-23,,REF_MASKED,,UPC,SALES_020,HOSP_338,DR_235,Sigma Nail,PFNA SL (เฉพาะ Implant),29-08-23,9:00,28-08-23,,,,N25,BM16,√,ใช้,,3/18/2026,,Received,9/5/2023,รอรับกลับ
Sigma Nail,,29-08-23,,REF_MASKED,,UPC,SALES_011,HOSP_493,DR_080,Sigma Nail,PFNA S,29-08-23,14:00,28-08-23,,,,N10,BM13,เขียวกลาง,,,3/18/2026,,Received,9/21/2023,รอผู้แทนเข้า pack ของ และส่งกลับ
Sigma 3.5,,29-08-23,,REF_MASKED,,UPC,SALES_011,HOSP_500,DR_596,Sigma 3.5,Fibular,29-08-23,9:00,28-08-23,,,,S60,19/ข,√,ใช้,,3/18/2026,,Received,9/4/2023,รอผู้แทนเข้า pack ของ และส่งกลับ
Sigma Nail,,29-08-23,,REF_MASKED,,UPC,SALES_016,HOSP_138,DR_100,Sigma Nail,PFNA SL,30-08-23,13:00,28-08-23,,,,N22,น้ำเงินกลาง,√,ใช้,,3/18/2026,,Received,8/31/2023,
Sigma 2.7/3.5,,29-08-23,,REF_MASKED,,BKK,SALES_005,HOSP_335,DR_808,Sigma 2.7/3.5,Clavicle + Hook,29-08-23,9:00,28-08-23,,,,14,BM09,√,ใช้,,3/18/2026,,Received,9/5/2023,
Sigma Nail,,29-08-23,,,,UPC,SALES_021,HOSP_464,DR_733,Sigma Nail,PFNA S,30-08-23,11:00,28-08-23,,,,-,,,,,,,Cancel,Cancel,
Stryker T10,,29-08-23,,,,UPC,SALES_011,HOSP_500,DR_596,Stryker T10,Fibular T10,29-08-23,9:00,28-08-23,,,,4,19/ข,√,คืนครบ,,3/18/2026,,Received,9/4/2023,รอผู้แทนเข้า pack ของ และส่งกลับ
Sigma 5.0,,29-08-23,,,,BKK,SALES_003,HOSP_156,DR_355,Sigma 5.0,PLT,29-08-23,15:00,28-08-23,,,,L30,BM25,√,คืนครบ,,3/18/2026,,Received,9/5/2023,
Sigma Nail,,30-08-23,,REF_MASKED,,BKK,SALES_005,HOSP_217,DR_759,Sigma Nail,PFNA SL,30-08-23,9:00,29-08-23,,,,N21,BL07,√,ใช้,,3/18/2026,,Received,9/5/2023,
Sigma 2.7/3.5,,30-08-23,,REF_MASKED,,BKK,SALES_006,HOSP_449,DR_543,Sigma 2.7/3.5,Clavicle,30-08-23,15:00,29-08-23,,,,7,ฟ้ากลาง,√,ใช้,,3/18/2026,,Received,9/5/2023,
Sigma 2.7/3.5,,30-08-23,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_555,Sigma 2.7/3.5,Clavicle,30-08-23,19:00,30-08-23,,,,12,BS02,√,ใช้,,3/18/2026,,Received,9/5/2023,
Sigma 2.7/3.5,,30-08-23,,REF_MASKED,,BKK,SALES_001,HOSP_417,DR_714,Sigma 2.7/3.5,Clavicle + Hook,31-08-23,7:00,30-08-23,,,,5-1,BS28,√,ใช้,,3/18/2026,,Received,9/5/2023,
Sigma 3.5,,30-08-23,,REF_MASKED,,BKK,SALES_002,HOSP_295,DR_155,Sigma 3.5,PMT+PLT,30-08-23,16:00,29-08-23,,,,S68,น้ำเงินใหญ่,√,ใช้,,3/18/2026,,Received,9/5/2023,
Stryker T8,,30-08-23,,REF_MASKED,,BKK,SALES_002,HOSP_062,DR_062,Stryker T8,Distal radius T8,30-08-23,16:00,29-08-23,,,,31,เขียวเล็ก,√,ใช้,,3/18/2026,,Received,9/5/2023,
Sigma 5.0,,30-08-23,,REF_MASKED,,UPC,SALES_012,HOSP_426,DR_2058,Sigma 5.0,Instrument + screw,30-08-23,11:00,29-08-23,,,,L13,12/ข,√,คืนครบ,,3/18/2026,,Received,9/11/2023,
Sigma 5.0,,30-08-23,,REF_MASKED,,UPC,SALES_020,HOSP_071,DR_390,Sigma 5.0,DF,30-08-23,9:00,30-08-23,,,,L40,BS15,√,ใช้,,3/18/2026,,Received,9/2/2023,รอรับกลับ
Sigma 3.5,,30-08-23,,REF_MASKED,,UPC,SALES_025,HOSP_213,DR_346,Sigma 3.5,PH,30-08-23,11:00,29-08-23,,,,S16,BM29,√,คืนครบ,,3/18/2026,,Received,8/31/2023,
Sigma 3.5,,30-08-23,,REF_MASKED,,BKK,SALES_005,HOSP_147,DR_089,Sigma 3.5,DMT+DAT,30-08-23,15:00,30-08-23,,,,S58,BS04,√,ใช้,,3/18/2026,,Received,6/9/2023,
Sigma 3.5,,30-08-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_083,Sigma 3.5,Recon plate,29-08-23,12:00,29-08-23,,,,S69,-,√,ใช้,,3/18/2026,,Received,9/12/2023,ขาด Plate recon
Sigma 3.5,,30-08-23,,,,UPC,SALES_022,HOSP_133,DR_364,Sigma 3.5,Small,06-09-23,8:30,01-09-23,,,,S51,GM07,√,คืนครบ,,3/18/2026,,Received,9/8/2023,
Sigma 5.0,,30-08-23,,,,BKK,SALES_002,HOSP_295,DR_155,Sigma 5.0,PLT,30-08-23,16:00,29-08-23,,,,L32,น้ำเงินใหญ่,√,คืนครบ,,3/18/2026,,Received,8/31/2023,
Sigma 2.7/3.5,,01-09-23,,REF_MASKED,,BKK,SALES_003,HOSP_370,-,Sigma 2.7/3.5,Elbow,01-09-23,5:00,31-08-23,,,,10,GM02,√,ใช้,,3/18/2026,,Received,9/1/2023,
Sigma 5.0,,01-09-23,,REF_MASKED,,UPC,SALES_018,HOSP_190,-,Sigma 5.0,PLT (เอาเฉพาะ Plate),01-09-23,-,01-09-23,,,,-,-,-,คืนครบ,,3/18/2026,,Received,7/31/2024,ขอเป็นคลังวาง ผท แจ้ง 9/11/2023 รอ ผท ทำย้าย
Stryker T8,,01-09-23,,REF_MASKED,,UPC,SALES_020,HOSP_316,DR_773,Stryker T8,Distal radius T8,01-09-23,13:00,31-08-23,,,,9,BS08,√,ใช้,,3/18/2026,,Received,9/6/2023,
Stryker T8,,01-09-23,,REF_MASKED,,UPC,SALES_025,HOSP_483,DR_759,Stryker T8,Distal radius T8,04-09-23,9:00,01-09-23,,,,26,BS28,√,ใช้,,3/18/2026,,Received,9/4/2023,
Sigma 5.0,,01-09-23,,REF_MASKED,,UPC,SALES_026,HOSP_154,DR_804,Sigma 5.0,Broad,04-09-23,9:00,01-09-23,,,,L4,BM19,√,ใช้,,3/18/2026,,Received,9/8/2023,
Sigma 3.5,,01-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_329,Sigma 3.5,DMT+DAT,31-08-23,9:00,30-08-23,,,,S57,-,√,ใช้,,3/18/2026,,Received,9/5/2023,
Sigma 5.0,,01-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_252,Sigma 5.0,Narrow,01-09-23,9:00,31-08-23,,,,L58,-,√,ใช้,,3/18/2026,,Received,9/12/2023,ผู้แทนยังไม่เข้าไป Pack ของ
Sigma 5.0,,01-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_2047,Sigma 5.0,PLT,31-08-23,9:00,30-08-23,,,,L21,-,√,ใช้,,3/18/2026,,Received,9/5/2023,
Sigma 5.0,,01-09-23,,REF_MASKED,,BKK,SALES_003,HOSP_016,DR_880,Sigma 5.0,DF,01-09-23,14:00,01-09-23,,,,L57,BS11,√,ใช้,,3/18/2026,,Received,9/2/2023,
Auxein ET,,01-09-23,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_487,Auxein ET,Expert tibia,01-09-23,18:00,31-08-23,,,,6,BM23,√,ใช้,,3/18/2026,,Received,9/2/2023,
Sigma 5.0,,01-09-23,,,,BKK,SALES_003,HOSP_370,-,Sigma 5.0,Narrow,01-09-23,5:00,31-08-23,,,,L33,GM02,√,คืนครบ,,3/18/2026,,Received,9/1/2023,
Sigma 3.5,,01-09-23,,,,BKK,SALES_005,HOSP_296,DR_2047,Sigma 3.5,PMT+PLT,31-08-23,9:00,30-08-23,,,,S10,-,√,คืนครบ,,3/18/2026,,Received,9/5/2023,
Sigma 2.7/3.5,,01-09-23,,,,BKK,SALES_005,HOSP_296,DR_252,Sigma 2.7/3.5,Elbow,01-09-23,9:00,31-08-23,,,,4,-,√,ใช้,,3/18/2026,,Received,9/5/2023,
Auxein EF,,02-09-23,,REF_MASKED,,BKK,SALES_002,HOSP_324,DR_654,Auxein EF,Expert femur,31-08-23,-,31-08-23,,,,8,BB00,√,ใช้,,3/18/2026,,Received,9/2/2023,
Stryker T8,,02-09-23,,REF_MASKED,,BKK,SALES_001,HOSP_417,DR_637,Stryker T8,Distal radius T8,01-09-23,13:30,01-09-23,,,,41,BS02,√,ใช้,,3/18/2026,,Received,9/5/2023,
Sigma 5.0,,02-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_147,DR_089,Sigma 5.0,DF,05-09-23,14:30,04-09-23,,,,L54,ฟ้าเล็ก,√,ใช้,,3/18/2026,,Received,9/8/2023,
Stryker T5T6,,02-09-23,,REF_MASKED,,UPC,SALES_015,HOSP_471,DR_245,Stryker T5T6,Variax hand,11-09-23,-,01-09-23,,,,H3,BM14,√,คืนครบ,,3/18/2026,,Received,9/5/2023,มีเคสผ่าวันศุกร์ 15/9/2023
Auxein Fix,,02-09-23,,REF_MASKED,,UPC,SALES_016,HOSP_136,DR_685,Auxein Fix,Radial head and neck fix,01-09-23,9:00,30-08-23,,,,1,BS29,√,ใช้,,3/18/2026,,Received,9/2/2023,
Auxein ET,,02-09-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_350,Auxein ET,Expert tibia,04-09-23,9:00,02-09-23,,,,12,BB00,√,ใช้,,3/18/2026,,Received,9/5/2023,
Stryker T8,,02-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_147,DR_089,Stryker T8,Distal radius T8,01-09-23,18:00,01-09-23,,,,36,เขียวเล็ก,√,ใช้,,3/18/2026,,Received,6/9/2023,
Auxein EF,,02-09-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_201,Auxein EF,Expert femur,01-09-23,9:30,31-08-23,,,,13,BB06,√,ใช้,,3/18/2026,,Received,9/2/2023,
Sigma Nail,,02-09-23,,REF_MASKED,,BKK,SALES_007,HOSP_012,DR_115,Sigma Nail,PFNA SL,02-09-23,18:00,02-09-23,,,,N15,BL07,√,ใช้,,3/18/2026,,Received,9/4/2023,
Auxein EF,,02-09-23,,REF_MASKED,,BKK,SALES_007,HOSP_189,DR_397,Auxein EF,Expert femur,02-09-23,7:30,01-09-23,,,,5,BB15,√,ใช้,,3/18/2026,,Received,9/4/2023,
Auxein EF,,02-09-23,,REF_MASKED,,BKK,SALES_003,HOSP_251,DR_473,Auxein EF,Expert femur,01-09-23,9:30,31-08-23,,,,1,BB01,√,ใช้,,3/18/2026,,Received,9/2/2023,
Sigma 3.5,,02-09-23,,,,BKK,SALES_006,HOSP_228,DR_350,Sigma 3.5,DMT+DAT+PMT+PLT,04-09-23,9:00,02-09-23,,,,S47,,,,,3/18/2026,,Received,9/5/2023,
Sigma 7.3,,02-09-23,,,,BKK,SALES_007,HOSP_189,DR_397,Sigma 7.3,PF,02-09-23,7:30,01-09-23,,,,9,2/ข,√,คืนครบ,,3/18/2026,,Received,9/4/2023,
Sigma 3.5,,02-09-23,,,,BKK,SALES_007,HOSP_189,DR_397,Sigma 3.5,PH,02-09-23,7:30,01-09-23,,,,S35,2/ข,√,ใช้,,3/18/2026,,Received,9/6/2023,
Sigma 5.0,,02-09-23,,,,BKK,SALES_009,HOSP_429,DR_421,Sigma 5.0,DF,01-09-23,18:00,01-09-23,,,,L3,BM05,√,คืนครบ,,3/18/2026,,Received,9/5/2023,
Auxein EF,,02-09-23,,,,BKK,SALES_009,HOSP_429,DR_421,Auxein EF,Expert femur,01-09-23,18:00,01-09-23,,,,12,BM05,√,ใช้,,3/18/2026,,Received,9/5/2023,
Sigma 2.7/3.5,,04-09-23,,REF_MASKED,,UPC,SALES_011,HOSP_436,DR_170,Sigma 2.7/3.5,Elbow,06-09-23,9:00,04-09-23,,,,10,BM04,√,ใช้,,3/18/2026,,Received,9/7/2023,
Sigma 3.5,,04-09-23,,REF_MASKED,,BKK,SALES_007,HOSP_189,DR_390,Sigma 3.5,PH,04-09-23,21:00,04-09-23,,,,S71,เขียวเล็ก,,,,3/18/2026,,Received,9/6/2023,
Auxein Fix,,04-09-23,,REF_MASKED,,UPC,SALES_016,HOSP_136,DR_685,Auxein Fix,Radial head and neck,05-09-23,13:00,04-09-23,,,,2,ฟ้ากลาง,√,ใช้,,3/18/2026,,Received,9/7/2023,
Stryker T5T6,,04-09-23,,REF_MASKED,,UPC,SALES_018,HOSP_197,DR_552,Stryker T5T6,Variax hand,03-12-23,10:00,04-09-23,,,,H4,BS19,,,,3/18/2026,,Received,5/24/2024,ขอทำวาง รอทำเป็น ยย.
Sigma 2.7/3.5,,04-09-23,,REF_MASKED,,UPC,SALES_018,HOSP_305,DR_846,Sigma 2.7/3.5,Clavicle + Hook,05-09-23,14:30,03-09-23,,,,8,BM05,√,ใช้,,3/18/2026,,Received,9/14/2023,
Auxein Fix,,04-09-23,,REF_MASKED,,BKK,SALES_001,HOSP_417,DR_714,Auxein Fix,Radial head and neck,05-09-23,18:00,04-09-23,,,,03,,,,,3/18/2026,,Received,9/7/2023,
Sigma 5.0,,04-09-23,,REF_MASKED,,BKK,SALES_003,HOSP_101,DR_837,Sigma 5.0,Narrow,04-09-23,13:00,04-09-23,,,,L14,BM11,,คืนครบ,,3/18/2026,,Received,9/8/2023,ผู้แทนยังไม่เข้าไป Pack ของ
Stryker T8,,04-09-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_249,Stryker T8,Distal radius T8,08-09-23,13:00,04-09-23,,,,19,น้ำเงินใหญ่,√,ใช้,,3/18/2026,,Received,9/8/2023,ผ่าเดิม 4/9/2023
Stryker T8,,04-09-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_852,Stryker T8,Distal radius T8,05-09-23,-,04-09-23,,,,39,น้ำเงินใหญ่,,,,3/18/2026,,Received,9/6/2023,
Sigma 3.5,,04-09-23,,REF_MASKED,,BKK,SALES_006,HOSP_205,DR_355,Sigma 3.5,Small,04-09-23,11:00,03-09-23,,,,S75,BM05,,,,3/18/2026,,Received,9/6/2023,
Sigma 5.0,,04-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_241,Sigma 5.0,DF+PLT,05-09-23,9:00,03-09-23,,,,L3,,,,,3/18/2026,,Received,9/8/2023,
Sigma 3.5,,04-09-23,,REF_MASKED,,BKK,SALES_009,HOSP_400,DR_074,Sigma 3.5,PMT+PLT,05-09-23,15:00,03-09-23,,,,33,-,-,ใช้,,3/18/2026,,Received,9/22/2023,
Stryker T8,,04-09-23,,REF_MASKED,,BKK,SALES_009,HOSP_400,DR_764,Stryker T8,Distal radius T8,04-09-23,6:00,03-09-23,,,,31,GM05,√,ใช้,,3/18/2026,,Received,9/4/2023,
Stryker T10,,04-09-23,,,,UPC,SALES_025,HOSP_213,DR_346,Stryker T10,Fibular,04-09-23,13:30,03-09-23,,,,03,BS23,√,ใช้,,3/18/2026,,Received,9/6/2023,
Sigma 5.0,,04-09-23,,,,BKK,SALES_005,HOSP_086,DR_602,Sigma 5.0,DF+PLT,04-09-23,19:00,04-09-23,,,,L32,BM29,√,ใช้,,3/18/2026,,Received,9/5/2023,
Stryker T5T6,,06-09-23,,REF_MASKED,,UPC,SALES_021,HOSP_328,-,Stryker T5T6,Variax hand,06-09-23,-,06-09-23,,,,H2,เขียว,√,คืนครบ,,3/18/2026,,Received,9/11/2023,
Stryker T8,,06-09-23,,REF_MASKED,,UPC,SALES_021,HOSP_328,-,Stryker T8,Distal radius T8,06-09-23,-,06-09-23,,,,41,เขียว,√,คืนครบ,,3/18/2026,,Received,9/12/2023,
Sigma 5.0,,06-09-23,,REF_MASKED,,BKK,SALES_001,HOSP_417,DR_170,Sigma 5.0,Narrow,06-09-23,14:00,05-09-23,,,,L33,BM08,,,,3/18/2026,,Received,9/7/2023,
Auxein EF,,06-09-23,,REF_MASKED,,BKK,SALES_003,HOSP_251,DR_473,Auxein EF,Expert femur,06-09-23,11:00,05-09-23,,,,8,BB06,,,,3/18/2026,,Received,9/11/2023,
Sigma 5.0,,06-09-23,,REF_MASKED,,BKK,SALES_006,HOSP_452,DR_151,Sigma 5.0,PLT,06-09-23,16:30,05-09-23,,,,L1,ฟ้้ากลาง,,,,3/18/2026,,Received,9/11/2023,
Sigma 3.5,,06-09-23,,REF_MASKED,,BKK,SALES_006,HOSP_452,DR_151,Sigma 3.5,DMT+DAT,06-09-23,16:30,05-09-23,,,,S8,ฟ้ากลาง,,,,3/18/2026,,Received,9/8/2023,
Sigma 5.0,,06-09-23,,REF_MASKED,,BKK,SALES_006,HOSP_449,DR_543,Sigma 5.0,DF,06-09-23,16:00,05-09-23,,,,L30,BB01,,,,3/18/2026,,Received,9/7/2023,
Sigma Nail,,06-09-23,,REF_MASKED,,BKK,SALES_006,HOSP_449,DR_543,Sigma Nail,PFNA SL,06-09-23,16:00,05-09-23,,,,N23,BB01,,,,3/18/2026,,Received,9/7/2023,
Auxein ET,,06-09-23,,REF_MASKED,,UPC,SALES_022,HOSP_383,DR_237,Auxein ET,Expert tibia,05-09-23,9:00,04-09-23,,,,16,BM05,√,ใช้,,3/18/2026,,Received,9/6/2023,
Sigma 2.7/3.5,,06-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_578,Sigma 2.7/3.5,Elbow,06-09-23,9:00,05-09-23,,,,7,-,,,,3/18/2026,,Received,9/8/2023,
Sigma 3.5,,06-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_329,Sigma 3.5,DMT+DAT+Fibular,07-09-23,9:00,05-09-23,,,,S68,-,,,,3/18/2026,,Received,9/8/2023,
Stryker T10,,06-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_329,Stryker T10,Fibular T10,07-09-23,9:00,05-09-23,,,,1,-,-,คืนครบ,,3/18/2026,,Received,9/12/2023,ผู้แทนยังไม่เข้าไป Pack ของ
Auxein ET,,06-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_296,DR_083,Auxein ET,Expert tibia,06-09-23,12:00,05-09-23,,,,1,-,-,ใช้,,3/18/2026,,Received,9/12/2023,ยังไม่คืน
Sigma 3.5,,06-09-23,,REF_MASKED,,BKK,SALES_007,HOSP_189,DR_390,Sigma 3.5,PH,06-09-23,13:00,06-09-23,,,,S9,BS09,,,,3/18/2026,,Received,9/8/2023,
Sigma Nail,,06-09-23,,REF_MASKED,,UPC,SALES_018,HOSP_137,DR_695,Sigma Nail,PFNA SL,10-09-23,9:30,06-09-23,,,,N20,BL01,√,ใช้,,3/18/2026,,Received,9/18/2023,
Sigma 2.7/3.5,,06-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_335,DR_808,Sigma 2.7/3.5,Elbow,06-09-23,11:00,06-09-23,,,,13,เขียวเล็ก,√,ใช้,,3/18/2026,,Received,9/8/2023,ผ่าเดิม 6/9/2023
Sigma 2.7/3.5,,06-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_147,DR_089,Sigma 2.7/3.5,Clavicle + Hook,09-09-23,11:00,08-09-23,,,,4,BM00,√,ใช้,,3/18/2026,,Received,9/11/2023,
Auxein Fix,,06-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_217,DR_759,Auxein Fix,Radial head and neck,06-09-23,14:00,06-09-23,,,,5,BB05,√,ใช้,,3/18/2026,,Received,9/8/2023,มีเคสผ่าเร็วๆนี้ไม่เกิน 14/8/2023
Sigma 2.7/3.5,,06-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_217,DR_759,Sigma 2.7/3.5,Clavicle + Hook,06-09-23,14:00,06-09-23,,,,05-1,BB05,√,คืนครบ,,3/18/2026,,Received,9/8/2023,มีเคสผ่าเร็วๆนี้ไม่เกิน 14/8/2023
Sigma 3.5,,06-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_217,DR_759,Sigma 3.5,PMT+PLT,06-09-23,14:00,06-09-23,,,,S15,BB05,√,ใช้,,3/18/2026,,Received,9/8/2023,มีเคสผ่าเร็วๆนี้ไม่เกิน 14/8/2023
Auxein VA,,06-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_217,DR_759,Auxein VA,Distal radius VA,06-09-23,14:00,06-09-23,,,,17,BB05,√,ใช้,,3/18/2026,,Received,9/8/2023,มีเคสผ่าเร็วๆนี้ไม่เกิน 14/8/2023
Stryker T8T10,,06-09-23,,REF_MASKED,,BKK,SALES_005,HOSP_217,DR_759,Stryker T8T10,Foot and ankle,06-09-23,14:00,06-09-23,,,,FA1,BB05,√,ใช้,,3/18/2026,,Received,9/8/2023,มีเคสผ่าเร็วๆนี้ไม่เกิน 14/8/2023
Sigma 3.5,,06-09-23,,,,BKK,SALES_006,HOSP_205,DR_355,Sigma 3.5,PH,07-09-23,-,06-09-23,,,,S03,,,,,3/18/2026,,Received,9/8/2023,
Auxein Fix,,06-09-23,,,,BKK,SALES_001,HOSP_417,DR_170,Auxein Fix,Radial head and neck,07-09-23,10:00,06-09-23,,,,1,GM07,√,คืนครบ,,3/18/2026,,Received,9/7/2023,
Sigma 3.5,,06-09-23,,,,BKK,SALES_001,HOSP_417,DR_170,Sigma 3.5,Small,07-09-23,10:00,06-09-23,,,,S65,,,,,3/18/2026,,Received,9/11/2023,
Sigma 5.0,,06-09-23,,,,BKK,SALES_005,HOSP_378,DR_1116,Sigma 5.0,DF,07-09-23,-,06-09-23,,,,L25,BS28,√,คืนครบ,,3/18/2026,,Received,9/8/2023,
Sigma 2.7/3.5,,06-09-23,,,,BKK,SALES_009,HOSP_414,DR_854,Sigma 2.7/3.5,Clavicle,05-09-23,10:30,04-09-23,,,,12,,√,ใช้,,3/18/2026,,Received,6/9/2023,
